정렬된 배열:
값: 0.166133, 원래 인덱스: 127
값: 0.172561, 원래 인덱스: 196
값: 0.173465, 원래 인덱스: 150
값: 0.173787, 원래 인덱스: 164
값: 0.182718, 원래 인덱스: 247
값: 0.182739, 원래 인덱스: 203
값: 0.184001, 원래 인덱스: 241
값: 0.185467, 원래 인덱스: 161
값: 0.187631, 원래 인덱스: 37
값: 0.188201, 원래 인덱스: 184
값: 0.188765, 원래 인덱스: 89
값: 0.189454, 원래 인덱스: 229
값: 0.189787, 원래 인덱스: 125
값: 0.191167, 원래 인덱스: 202
값: 0.191396, 원래 인덱스: 74
값: 0.192073, 원래 인덱스: 11
값: 0.192997, 원래 인덱스: 227
값: 0.193265, 원래 인덱스: 212
값: 0.194067, 원래 인덱스: 163
값: 0.195683, 원래 인덱스: 223
값: 0.195761, 원래 인덱스: 112
값: 0.196329, 원래 인덱스: 189
값: 0.196414, 원래 인덱스: 235
값: 0.196736, 원래 인덱스: 208
값: 0.196930, 원래 인덱스: 215
값: 0.196988, 원래 인덱스: 116
값: 0.199187, 원래 인덱스: 51
값: 0.199284, 원래 인덱스: 53
값: 0.199412, 원래 인덱스: 152
값: 0.199843, 원래 인덱스: 115
값: 0.199861, 원래 인덱스: 43
값: 0.200241, 원래 인덱스: 251
값: 0.200364, 원래 인덱스: 2
값: 0.201140, 원래 인덱스: 230
값: 0.201918, 원래 인덱스: 157
값: 0.202053, 원래 인덱스: 145
값: 0.202626, 원래 인덱스: 90
값: 0.202966, 원래 인덱스: 24
값: 0.203229, 원래 인덱스: 159
값: 0.203870, 원래 인덱스: 72
값: 0.205223, 원래 인덱스: 167
값: 0.205787, 원래 인덱스: 253
값: 0.207651, 원래 인덱스: 153
값: 0.207781, 원래 인덱스: 48
값: 0.208341, 원래 인덱스: 98
값: 0.208598, 원래 인덱스: 139
값: 0.210001, 원래 인덱스: 109
값: 0.210649, 원래 인덱스: 39
값: 0.210870, 원래 인덱스: 144
값: 0.211521, 원래 인덱스: 174
값: 0.211538, 원래 인덱스: 198
값: 0.211666, 원래 인덱스: 175
값: 0.212000, 원래 인덱스: 6
값: 0.212179, 원래 인덱스: 76
값: 0.212428, 원래 인덱스: 105
값: 0.212740, 원래 인덱스: 91
값: 0.213231, 원래 인덱스: 35
값: 0.213316, 원래 인덱스: 214
값: 0.213645, 원래 인덱스: 78
값: 0.214015, 원래 인덱스: 59
값: 0.214465, 원래 인덱스: 88
값: 0.214561, 원래 인덱스: 185
값: 0.214783, 원래 인덱스: 101
값: 0.216092, 원래 인덱스: 94
값: 0.217453, 원래 인덱스: 133
값: 0.217588, 원래 인덱스: 9
값: 0.218183, 원래 인덱스: 107
값: 0.218447, 원래 인덱스: 141
값: 0.218495, 원래 인덱스: 170
값: 0.219294, 원래 인덱스: 0
값: 0.220589, 원래 인덱스: 119
값: 0.221000, 원래 인덱스: 84
값: 0.221369, 원래 인덱스: 199
값: 0.221678, 원래 인덱스: 249
값: 0.221724, 원래 인덱스: 135
값: 0.221741, 원래 인덱스: 44
값: 0.221893, 원래 인덱스: 148
값: 0.222762, 원래 인덱스: 111
값: 0.223429, 원래 인덱스: 118
값: 0.223878, 원래 인덱스: 240
값: 0.223902, 원래 인덱스: 41
값: 0.224191, 원래 인덱스: 181
값: 0.224376, 원래 인덱스: 92
값: 0.224852, 원래 인덱스: 21
값: 0.224974, 원래 인덱스: 219
값: 0.225418, 원래 인덱스: 27
값: 0.226428, 원래 인덱스: 50
값: 0.226446, 원래 인덱스: 31
값: 0.226986, 원래 인덱스: 124
값: 0.227360, 원래 인덱스: 64
값: 0.227363, 원래 인덱스: 104
값: 0.227408, 원래 인덱스: 46
값: 0.227564, 원래 인덱스: 197
값: 0.229681, 원래 인덱스: 40
값: 0.229956, 원래 인덱스: 171
값: 0.229966, 원래 인덱스: 140
값: 0.230243, 원래 인덱스: 87
값: 0.230284, 원래 인덱스: 183
값: 0.231322, 원래 인덱스: 128
값: 0.231689, 원래 인덱스: 131
값: 0.232027, 원래 인덱스: 255
값: 0.232171, 원래 인덱스: 17
값: 0.232337, 원래 인덱스: 22
값: 0.232817, 원래 인덱스: 200
값: 0.233093, 원래 인덱스: 66
값: 0.233464, 원래 인덱스: 180
값: 0.234068, 원래 인덱스: 36
값: 0.234160, 원래 인덱스: 121
값: 0.234992, 원래 인덱스: 160
값: 0.235498, 원래 인덱스: 14
값: 0.236826, 원래 인덱스: 134
값: 0.238075, 원래 인덱스: 45
값: 0.238109, 원래 인덱스: 155
값: 0.238261, 원래 인덱스: 206
값: 0.238770, 원래 인덱스: 236
값: 0.239204, 원래 인덱스: 19
값: 0.239691, 원래 인덱스: 82
값: 0.241323, 원래 인덱스: 221
값: 0.241517, 원래 인덱스: 33
값: 0.243367, 원래 인덱스: 143
값: 0.243839, 원래 인덱스: 47
값: 0.244349, 원래 인덱스: 222
값: 0.244477, 원래 인덱스: 29
값: 0.245055, 원래 인덱스: 192
값: 0.246109, 원래 인덱스: 158
값: 0.246125, 원래 인덱스: 217
값: 0.246684, 원래 인덱스: 126
값: 0.247118, 원래 인덱스: 151
값: 0.247439, 원래 인덱스: 204
값: 0.247503, 원래 인덱스: 100
값: 0.248348, 원래 인덱스: 103
값: 0.248718, 원래 인덱스: 220
값: 0.249020, 원래 인덱스: 55
값: 0.249040, 원래 인덱스: 194
값: 0.249700, 원래 인덱스: 4
값: 0.250928, 원래 인덱스: 137
값: 0.251873, 원래 인덱스: 177
값: 0.252271, 원래 인덱스: 83
값: 0.252483, 원래 인덱스: 146
값: 0.253524, 원래 인덱스: 232
값: 0.253893, 원래 인덱스: 97
값: 0.254078, 원래 인덱스: 102
값: 0.254434, 원래 인덱스: 243
값: 0.254526, 원래 인덱스: 179
값: 0.254801, 원래 인덱스: 96
